ID,Gene,Variation,Class
0,447,7654,1
1,216,8255,2
2,216,5191,2
3,216,4572,3
4,216,3958,4
5,216,7898,4
6,216,7913,5
7,216,1350,1
8,216,8435,4
9,216,716,4
10,216,4939,4
11,216,3483,4
12,216,6206,4
13,216,713,4
14,216,4961,5
15,216,1128,4
16,216,7654,1
17,216,5236,4
18,216,4319,5
19,216,8436,4
20,216,3081,6
21,216,721,4
22,216,2518,4
23,216,7042,4
24,216,4953,4
25,216,3005,4
26,1211,6993,4
27,1353,8566,4
28,1353,625,7
29,1353,3008,4
30,1353,3072,4
31,1353,5113,7
32,1353,5062,4
33,1353,493,2
34,1353,647,7
35,349,2257,4
36,349,2256,4
37,349,955,1
38,349,954,1
39,349,1428,4
40,349,976,4
41,349,7654,1
42,349,1429,4
43,349,1350,1
44,1082,7292,4
45,1082,8010,1
46,1082,7622,4
47,1082,421,1
48,1082,5112,4
49,1082,5461,4
50,1082,169,1
51,1082,8399,1
52,1082,1333,4
53,1082,4595,1
54,1082,1920,1
55,1082,4102,1
56,1082,8094,4
57,1082,8449,1
58,1082,2033,1
59,1082,5336,1
60,1082,6245,1
61,1082,5405,4
62,1082,16,4
63,1082,5318,4
64,1082,7564,1
65,1082,3435,1
66,1082,4416,4
67,1124,8428,7
68,1124,8430,7
69,1124,8429,7
70,1213,1350,1
71,223,493,2
72,1095,3833,1
73,1095,3675,4
74,1095,1350,1
75,224,493,2
76,224,4871,2
77,224,5204,7
78,224,7409,7
79,224,7408,7
80,224,3224,2
81,224,3225,2
82,1128,448,7
83,1128,447,7
84,1128,449,2
85,1128,4388,7
86,225,493,7
87,225,4683,7
88,1159,7654,1
89,1360,4576,4
90,1360,6301,1
91,1360,735,4
92,1360,2650,4
93,1360,5084,4
94,1360,6940,1
95,1360,7050,4
96,1360,7641,4
97,1361,6363,2
98,1361,1132,4
99,1361,5007,4
100,1361,7654,1
101,1361,1350,1
102,827,6692,4
103,827,6725,1
104,827,1382,4
105,827,7276,1
106,827,2548,5
107,827,1350,1
108,827,5348,1
109,827,5359,5
110,827,7654,1
111,827,7941,5
112,827,1768,4
113,827,1824,4
114,827,1825,4
115,715,1350,1
116,715,7654,1
117,731,7654,4
118,960,7654,1
119,960,1350,1
120,960,4437,4
121,1199,3591,8
122,1199,6455,9
123,1199,1667,9
124,1199,3048,9
125,1199,6456,9
126,1199,3584,9
127,1199,3049,9
128,1199,6458,9
129,1199,3587,9
130,1199,6459,9
131,1199,1668,9
132,1199,6457,9
133,1199,3585,9
134,1199,3586,9
135,1199,3590,9
136,1199,6710,9
137,732,1350,4
138,389,4126,7
139,389,7193,2
140,389,3286,5
141,389,1276,7
142,389,2747,7
143,389,2758,7
144,389,4651,7
145,389,3512,2
146,389,1720,7
147,389,1272,7
148,389,2753,7
149,389,3594,7
150,389,1780,7
151,389,8046,2
152,389,1779,7
153,389,4159,2
154,389,3070,5
155,389,1723,2
156,389,3059,7
157,389,7586,2
158,389,4116,7
159,389,1696,2
160,389,1266,2
161,389,3604,2
162,389,3060,2
163,389,8078,4
164,389,1778,7
165,389,1273,7
166,389,1712,7
167,389,461,7
168,389,1710,2
169,389,1813,7
170,389,1782,7
171,389,457,2
172,389,1695,2
173,389,1738,7
174,389,438,7
175,389,8050,7
176,389,2784,7
177,389,6624,2
178,389,5060,2
179,389,2806,2
180,389,2750,7
181,389,4118,2
182,389,7605,2
183,389,4097,2
184,389,439,7
185,389,8036,2
186,389,1711,2
187,389,4123,7
188,389,1812,7
189,389,7197,7
190,389,801,7
191,389,7236,6
192,389,4660,2
193,389,3063,7
194,389,3061,7
195,389,4120,7
196,389,802,3
197,389,1816,7
198,389,1814,7
199,389,4100,4
200,389,4166,7
201,389,4115,2
202,389,4659,7
203,389,4121,7
204,389,493,7
205,389,4160,2
206,389,4125,7
207,389,5355,7
208,389,8053,2
209,389,7155,2
210,389,4161,7
211,389,1776,7
212,389,4119,7
213,389,8054,2
214,389,3062,7
215,389,1709,2
216,389,4165,2
217,389,3593,4
218,389,1717,7
219,389,4117,2
220,389,7106,8
221,389,7199,7
222,389,1305,2
223,389,4167,7
224,389,2749,2
225,389,1697,7
226,389,441,7
227,389,7202,7
228,389,8556,7
229,389,3325,7
230,389,8040,7
231,389,1713,7
232,389,4122,7
233,389,7588,7
234,389,4099,2
235,389,7608,7
236,389,443,7
237,389,1754,4
238,389,1781,7
239,389,7200,7
240,389,1719,7
241,389,1706,7
242,389,6588,7
243,389,7395,7
244,389,7606,7
